Coming Soon,,,,,
#,Development Name,Address,Property Website,Management Company,Public Phone #
101,Paula Street,801 Paula Street,,"Westlake Realty Group, Inc.",(408) 287-7844
102,Pinmore Gardens,1696 Branham Lane,http://fpihacsc.com/property/pinmore-gardens/,FPI Management,(408) 264-3108
103,Plaza Maria,115 East Reed Street and Third Street,http://www.dbarchitect.com/project_detail/49/Plaza%20Maria.html,"Mercy Housing California III, L.P.",(408) 293-5253
104,Poco Way,1900 Poco Way,http://fpihacsc.com/properties/,FPI Management,(408) 923-2099
105,Raintree,1058 S. Winchester,www.raintreesanjose.com,PinnacleAMS,(855) 493-8290
106,Regency Apartments,1315 Eden Ave,No website,N/A,(408) 378-1970
107,Rincon De Los Esteros,1780 Old Oakland Road,http://www.losesteros.org/,John Stewart Company,(408) 437-1303
108,Roewill,1059 Roewill Drive,http://www.abodeservices.org/,Abode Services,(408) 941-1850
109,Rosemary Family,66 E ROSEMARY ST,http://www.roemcorp.com/projects/1st-and-rosemary-family/,FPI Management,(408) 606-8098
110,San Jose Apartments,1500 Cunningham Avenue,http://www.dkdproperties.com/south%20bay.htm,DKD Property Management Company,(408) 272-3311
111,San Jose Gardens,4668 Albany Drive,http://www.gkind.com,"G&K Management Company, Inc.",(408) 248-0800
112,Santa Familia,4984 Severance Drive,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 448-2946
113,St. Claire Apartments,301 S.First Street,http://www.stclaireapts.com/,Sainte Claire Apartment Homes,(408) 499-2229
114,Stonegate,4401 Renaissance Drive,No website,ConAm Management,(408) 922-7255
115,Summer Breeze,200 Lewis Road,http://www.roemcorp.com/projects/summer-breeze/,FPI Management,(408) 362-9011
116,Sunset Square,2080 Alum Rock Avenue,http://charitieshousing.org/sunset-square-apartments/,Charities Housing Management,(408) 550-8300
117,Taylor Oaks Apartments,2726-2738 Kollmar,http://www.tayloroaksapartments.com/,FPI Management,(408) 926-3177
118,Terramina Square,410 North White Road,www.caremgt.com,"California Management Company, LLC",(408) 259-8105
119,The Grove,510 Branham Lane,http://www.communityhousingsv.org/,C.H.D. PMS,(408) 279-7677
120,Third Street Apartments,1010 S. 3rd Street,No website,N/A,N/A
121,Thornbridge,5210 Monterey Rd.,www.thornbridgeapartments.com,ConAm Management,(408) 226-6500
122,Tierra Encantada,1918 Alum Rock Avenue,http://www.communityhousingsv.org/,"FPI Management, Inc.",(408) 926-8082
123,Town Park Towers,60 North 3rd Street,http://www.ncphs.org/affordable-housing/town-park-towers-san-jose,Northern California Presbyterian Homes & Services,(408) 288-8750
124,Trestles Apartments,1566 Scott St.,http://www.trestles-apts.com/,Fairfield Trestles L.P.,(408) 293-2727
125,Troy Apartments,714 S ALMADEN AVE,http://www.firsthousing.com/contact/rental/,"FPI Management, Inc.",(408) 287-7844
126,Turnleaf,3201 Loma Verde Drive,http://www.turnleaf-apts.com/,Fairfield Residential LLC,(408) 378-9138
127,Valley Palms Apartments,2245 Lanai Ave.,No website,KDF Communities LLC,(408) 251-2746
128,Vendome Apartments/San Pedro Square Apts.,155 W. Santa Clara St.,N/A,N/A,(408) 817-9435
129,Verandas,1868 North Capitol Avenue,www.caremgt.com,"California Management Company, LLC",(408) 263-8770
130,Villa Monterey,2898 Villa Monterey,No website,VPM Management Inc.,(408) 365-9200
131,Villa Savannah,4511 Renaissance Drive,www.winnco.com,WinnResidential,(408) 922-9980
132,Villa Solera,1385 Lucretia Avenue,www.caremgt.com,"California Management Company, LLC",(408) 975-0581
133,Villa Torino,29 West Julian Street,http://www.villatorinoapts.com/,Woodmont,(408) 294-3000
134,Villa Torre I,955 S 6th St,www.caremgt.com,"California Management Company, LLC",(408) 292-4600
135,Villa Torre II,955 S 6th St,www.caremgt.com,"California Management Company, LLC",(408) 292-4600Â 
136,Village @ Museum Park,465 W San Carlos St,http://www.essexapartmenthomes.com/california/san-francisco-bay-area/san-jose/museum-park,Essex,(866) 547-5813
137,Vintage Tower,235 East Santa Clara St,http://www.vintagetower.freeservers.com/,AMC,(408) 297-4705
138,Vivente II,5347 Dent Avenue,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 448-2946
139,Waterford Place,1700 N 1st Street,http://www.essexapartmenthomes.com/apartment/waterford-place-san-jose-ca-4p05i6585075,Essex,(408) 335-0155
140,Willow Creek,925 Willowleaf Dr,http://willowcreeksanjose.com/,Greystar,(877) 959-3369
141,Willow Lake,1331 Lakeshore Circle,http://www.essexapartmenthomes.com/apartment/willow-lake-san-jose-ca-301608561068,Essex,(877) 698-6090
142,Willows Apartments,894 Paula Street,http://fpihacsc.com/properties/,FPI Management,(408) 280-6389
